"Step","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX"
"172","0.53515625","0.53515625","0.53515625","0.515625","0.515625","0.515625","97","97","97"
"173","0.5234375","0.5234375","0.5234375","0.486328125","0.486328125","0.486328125","101","101","101"
"174","0.51171875","0.51171875","0.51171875","0.50390625","0.50390625","0.50390625","97","97","97"
"175","0.546875","0.546875","0.546875","0.51171875","0.51171875","0.51171875","103.5","103.5","103.5"
"176","0.52734375","0.52734375","0.52734375","0.484375","0.484375","0.484375","102.5","102.5","102.5"
"178","0.54296875","0.54296875","0.54296875","0.5","0.5","0.5","95","95","95"
"185","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125","105.5","105.5","105.5"
"186","0.5703125","0.5703125","0.5703125","0.53515625","0.53515625","0.53515625","112","112","112"
"188","0.55078125","0.55078125","0.55078125","0.5","0.5","0.5","110.5","110.5","110.5"
"190","0.55859375","0.55859375","0.55859375","0.515625","0.515625","0.515625","119.5","119.5","119.5"
"193","0.55859375","0.55859375","0.55859375","0.486328125","0.486328125","0.486328125","129","129","129"
"195","0.515625","0.515625","0.515625","0.52734375","0.52734375","0.52734375","120","120","120"
"197","0.55859375","0.55859375","0.55859375","0.52734375","0.52734375","0.52734375","121.5","121.5","121.5"
"198","0.57421875","0.57421875","0.57421875","0.51171875","0.51171875","0.51171875","125","125","125"
"210","0.5625","0.5625","0.5625","0.53515625","0.53515625","0.53515625","141","141","141"
"212","0.5859375","0.5859375","0.5859375","0.50390625","0.50390625","0.50390625","137","137","137"
"214","0.578125","0.578125","0.578125","0.56640625","0.56640625","0.56640625","142","142","142"
"222","0.57421875","0.57421875","0.57421875","0.515625","0.515625","0.515625","159","159","159"
"223","0.56640625","0.56640625","0.56640625","0.56640625","0.56640625","0.56640625","154","154","154"
"224","0.57421875","0.57421875","0.57421875","0.515625","0.515625","0.515625","164","164","164"
"225","0.5546875","0.5546875","0.5546875","0.53515625","0.53515625","0.53515625","160","160","160"
"226","0.58203125","0.58203125","0.58203125","0.5078125","0.5078125","0.5078125","163","163","163"
"227","0.5703125","0.5703125","0.5703125","0.53125","0.53125","0.53125","160","160","160"
"228","0.5703125","0.5703125","0.5703125","0.53515625","0.53515625","0.53515625","162","162","162"
"230","0.58203125","0.58203125","0.58203125","0.54296875","0.54296875","0.54296875","170","170","170"
"231","0.57421875","0.57421875","0.57421875","0.5234375","0.5234375","0.5234375","184","184","184"
"234","0.57421875","0.57421875","0.57421875","0.546875","0.546875","0.546875","172","172","172"
"235","0.578125","0.578125","0.578125","0.5625","0.5625","0.5625","175","175","175"
"236","0.57421875","0.57421875","0.57421875","0.5390625","0.5390625","0.5390625","170","170","170"
"239","","","","","","","172","172","172"
"241","0.60546875","0.60546875","0.60546875","0.54296875","0.54296875","0.54296875","174","174","174"
"244","0.609375","0.609375","0.609375","0.54296875","0.54296875","0.54296875","181","181","181"
"245","0.6015625","0.6015625","0.6015625","0.55078125","0.55078125","0.55078125","176","176","176"
"247","0.62890625","0.62890625","0.62890625","0.55078125","0.55078125","0.55078125","171","171","171"
"248","0.62890625","0.62890625","0.62890625","0.57421875","0.57421875","0.57421875","193","193","193"
"250","0.62890625","0.62890625","0.62890625","0.5703125","0.5703125","0.5703125","196","196","196"
"254","0.60546875","0.60546875","0.60546875","0.56640625","0.56640625","0.56640625","195","195","195"
"255","0.640625","0.640625","0.640625","0.57421875","0.57421875","0.57421875","200","200","200"
"257","","","","","","","206","206","206"
"259","0.61328125","0.61328125","0.61328125","0.5625","0.5625","0.5625","200","200","200"
"266","0.67578125","0.67578125","0.67578125","0.62890625","0.62890625","0.62890625","213","213","213"
"268","0.68359375","0.68359375","0.68359375","0.58984375","0.58984375","0.58984375","221","221","221"
"270","0.640625","0.640625","0.640625","0.6015625","0.6015625","0.6015625","219","219","219"
"273","0.66015625","0.66015625","0.66015625","0.62109375","0.62109375","0.62109375","221","221","221"
"274","0.62890625","0.62890625","0.62890625","0.609375","0.609375","0.609375","231","231","231"
"277","0.67578125","0.67578125","0.67578125","0.59375","0.59375","0.59375","221","221","221"
"278","0.65625","0.65625","0.65625","0.625","0.625","0.625","218","218","218"
"280","","","","","","","241","241","241"
"281","0.7109375","0.7109375","0.7109375","0.58984375","0.58984375","0.58984375","243","243","243"
"284","0.671875","0.671875","0.671875","0.64453125","0.64453125","0.64453125","222","222","222"
"287","0.67578125","0.67578125","0.67578125","0.65625","0.65625","0.65625","239","239","239"
"290","0.75","0.75","0.75","0.609375","0.609375","0.609375","242","242","242"
"292","0.73828125","0.73828125","0.73828125","0.62890625","0.62890625","0.62890625","234","234","234"
"295","0.703125","0.703125","0.703125","0.6328125","0.6328125","0.6328125","232","232","232"
"301","0.70703125","0.70703125","0.70703125","0.68359375","0.68359375","0.68359375","264","264","264"
"303","0.734375","0.734375","0.734375","0.6953125","0.6953125","0.6953125","246","246","246"
"304","0.7109375","0.7109375","0.7109375","0.66796875","0.66796875","0.66796875","262","262","262"
"305","0.7109375","0.7109375","0.7109375","0.67578125","0.67578125","0.67578125","268","268","268"
"306","0.6875","0.6875","0.6875","0.66015625","0.66015625","0.66015625","308","308","308"
"309","0.72265625","0.72265625","0.72265625","0.63671875","0.63671875","0.63671875","254","254","254"
"310","0.7265625","0.7265625","0.7265625","0.67578125","0.67578125","0.67578125","258","258","258"
"314","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875","252","252","252"
"315","0.78125","0.78125","0.78125","0.6328125","0.6328125","0.6328125","260","260","260"
"317","0.71875","0.71875","0.71875","0.64453125","0.64453125","0.64453125","282","282","282"
