Step,Muon without wd,Spectral Sphere,Muon
1217,10.75,4.90625,4.875
1219,10.4375,5.1875,4.65625
1220,10.3125,5.15625,4.84375
1223,10.4375,5.1875,4.65625
1225,10.1875,5.0625,4.78125
1226,10.3125,4.8125,4.6875
1229,10.0625,4.96875,4.65625
1230,10.5625,4.8125,4.90625
1231,10.4375,4.8125,4.75
1232,10.375,4.9375,4.84375
1233,10.4375,5,4.6875
1234,10.375,4.8125,4.625
1235,10.4375,5.09375,4.78125
1236,10,4.5625,4.65625
1237,10.125,4.9375,4.65625
1239,10.6875,4.875,4.84375
1240,10.5,5.09375,4.625
1247,10.625,5.125,4.78125
1248,10.3125,4.84375,4.75
1252,10.1875,4.8125,4.65625
1253,10.375,5.125,4.65625
1256,10.375,4.65625,4.625
1259,11,5.4375,4.90625
1260,10.625,4.78125,4.75
1262,10.6875,4.84375,4.90625
1263,10.9375,4.71875,4.9375
1266,10.875,5,4.9375
1269,10.625,4.9375,4.78125
1270,11.0625,4.84375,4.90625
1272,11.1875,4.8125,5
1274,10.8125,4.84375,5.0625
1279,10.5,4.78125,4.84375
1280,10.8125,5.28125,4.78125
1281,10.875,5.65625,5.09375
1284,10.75,5.0625,4.875
1286,10.75,5.28125,4.71875
1287,11.125,4.6875,4.8125
1288,10.5,4.8125,4.5625
1289,11.1875,4.8125,4.71875
1292,11.125,4.9375,4.71875
1295,11.0625,5.09375,4.78125
1302,11.0625,4.75,4.875
1305,10.6875,4.75,4.875
1306,10.9375,4.46875,4.75
1311,11.3125,5.15625,4.84375
1312,11.4375,4.625,4.84375
1313,11.1875,4.875,4.625
1314,11.25,4.78125,4.6875
1316,11.375,4.90625,4.875
1321,11.3125,4.9375,4.84375
1323,11.1875,5,5.09375
1325,11.625,4.875,5.125
1326,11.5,4.96875,4.59375
1327,11.6875,5.28125,5.125
1328,11.25,5,4.9375
1331,11.5,4.84375,5.09375
1333,10.875,4.65625,4.78125
1334,11.875,4.875,4.90625
1343,11.5,4.625,4.96875
1344,10.875,5.28125,5
1347,11.4375,4.78125,4.90625
1349,11.9375,4.96875,4.9375
1350,11.8125,4.84375,4.9375
1351,11.75,4.84375,4.9375
1352,11.25,4.9375,4.71875
1353,11.25,4.84375,4.84375
1360,11.0625,4.71875,5
1361,11.25,5.03125,4.65625
1363,11.4375,5,4.71875
1364,11.6875,4.6875,5
1365,11.5625,4.78125,4.875
1367,12.375,4.8125,4.96875
1368,11.4375,4.75,4.8125
1370,11.0625,4.8125,4.875
1371,11.75,4.59375,5.03125
1374,11.1875,4.90625,4.65625
1378,11.75,4.9375,5
1379,11.9375,4.8125,4.9375
1386,11.8125,4.8125,4.75
1387,11.5,4.90625,4.96875
1392,11.5625,4.8125,4.78125
1393,12.0625,5.09375,4.6875
1395,11.5,4.90625,4.71875
1396,11.9375,4.40625,5.15625
1397,11.5,5.21875,4.71875
1398,12.8125,5.59375,5.3125
1399,11.8125,4.90625,4.8125
1404,12.4375,4.59375,5.28125
1405,11.875,5,4.78125
1406,12,4.875,5.09375
1407,11.9375,4.6875,4.5
1409,11.75,4.25,4.65625
1411,11.9375,4.9375,4.78125
1414,12.375,4.6875,4.875
1418,12.0625,4.75,4.9375
1419,11.1875,5.0625,4.96875
1421,11.25,4.59375,4.65625
1425,12.375,4.6875,4.8125
1429,12.25,4.96875,4.96875
1434,12.6875,4.96875,5.28125
1436,12.125,4.71875,5.1875
1437,12.5625,4.4375,4.9375
1441,11.875,5.125,4.78125
1442,12.5,4.46875,4.78125
1445,12,4.90625,4.84375
1447,11.75,4.90625,5.03125
1448,12.3125,5.1875,4.6875
1449,12.5,4.9375,5
1450,12.5625,4.625,4.75
1453,12.125,4.9375,4.71875
1458,12.5,4.53125,5.1875
1459,12.5,5.21875,4.71875
1460,12.6875,4.65625,5.125
1462,12.1875,4.5,4.875
1465,12.625,4.59375,5.21875
1466,12.625,4.84375,5.0625
1469,12.625,4.4375,4.9375
1471,12.75,4.46875,4.6875
1473,12,4.6875,4.65625
1475,12.0625,4.78125,4.78125
1480,12.8125,4.875,4.75
1481,12.375,4.34375,4.78125
1486,12.375,4.875,5
1487,12.75,4.96875,4.84375
1488,12.5625,4.75,4.96875
1489,12.5625,4.875,5.125
1491,12.4375,5.375,5.3125
1495,12.375,4.875,4.84375
1501,13.6875,5.46875,5.15625
1502,12.375,4.71875,4.84375
1506,12.6875,4.9375,4.875
1508,12.4375,4.5,4.75
1509,12.6875,4.875,5.15625
1512,13.25,4.65625,4.9375
1513,13,4.875,4.90625
1519,13.1875,4.375,5
1526,12.9375,4.53125,4.75
1530,13.5625,4.8125,5.25
1532,12.4375,4.9375,5
1533,12.9375,4.4375,4.625
1536,13.0625,4.875,4.96875
1538,13.1875,4.84375,4.84375
1540,13.375,4.84375,5
1541,13.3125,4.59375,5.09375
1542,13.125,4.8125,4.9375
1547,12.9375,4.4375,4.78125
1548,13.8125,5.0625,5
1549,12.8125,4.46875,4.8125
1550,13.0625,4.71875,4.90625
1551,13.6875,4.40625,5.03125
1552,13.125,4.6875,4.75
1553,13.3125,4.4375,5
1556,13.5,4.5625,4.90625
