Step,radius1,radius0.1,radius2,radius10,radius0.5
231,3.34375,0.0025177,23.875,2800,0.4296875
232,3.28125,0.002410889,24.125,2832,0.44921875
234,3.625,0.002227783,25.25,2976,0.466796875
235,3.515625,0.002334595,25.75,3024,0.47265625
236,3.78125,0.002120972,26.125,3120,0.482421875
237,3.703125,0.00213623,26.375,3088,0.50390625
238,3.96875,0.002349854,27,3168,0.5078125
239,3.921875,0.0027771,28,3216,0.51953125
240,4.09375,0.002212524,28.25,3296,0.53125
241,4.28125,0.002288818,28.5,3376,0.55859375
242,4.46875,0.002532959,29.5,3440,0.5625
243,4.53125,0.00239563,30.375,3424,0.57421875
244,4.59375,0.002365112,30.625,3488,0.59765625
245,4.71875,0.002853394,30.625,3584,0.58984375
247,5.1875,0.002685547,32.75,3696,0.6328125
248,5.21875,0.002944946,32.75,3824,0.64453125
249,4.9375,0.002639771,34.5,3696,0.6484375
250,5.40625,0.002914429,34.25,3840,0.6796875
251,5.4375,0.002548218,35.5,3824,0.6875
252,5.4375,0.0025177,35.25,3824,0.71484375
253,5.25,0.00402832,36.25,4096,0.71875
254,5.4375,0.002349854,35.5,4016,0.7421875
255,5.65625,0.003463745,37.25,4032,0.75
256,5.71875,0.003311157,36.25,4096,0.78515625
257,5.84375,0.003372192,39.25,4256,0.7890625
258,6.0625,0.002563477,39.25,4256,0.81640625
259,6.1875,0.003860474,38,4384,0.82421875
261,6.625,0.003463745,40.5,4480,0.86328125
262,6.65625,0.003936768,41.25,4608,0.87109375
264,6.9375,0.004333496,42.25,4800,0.91796875
265,6.84375,0.003936768,42.5,4832,0.92578125
266,7.15625,0.004730225,44.25,4992,0.96484375
268,7.25,0.003540039,45.75,5056,1
270,7.625,0.003967285,47,5216,1.046875
271,7.75,0.004608154,47.25,5280,1.09375
272,7.875,0.005340576,47.25,5312,1.0703125
273,8.0625,0.003753662,48,5376,1.1328125
274,8.1875,0.003936768,49,5376,1.125
275,8.375,0.005371094,49,5440,1.1796875
276,8.5,0.00479126,48.75,5504,1.203125
277,8.6875,0.005950928,49,5696,1.2109375
278,8.875,0.00604248,49,5664,1.2265625
279,9.125,0.005004883,53.75,5728,1.265625
280,9.4375,0.005828857,52.5,6048,1.265625
281,9.4375,0.00402832,53,5856,1.3046875
282,9.75,0.006469727,56,5952,1.3203125
283,9.875,0.003692627,54.25,6176,1.3671875
284,10.0625,0.006439209,55.75,6144,1.328125
286,10.4375,0.005218506,55.75,6368,1.4296875
287,10.6875,0.007354736,54.75,6432,1.4453125
288,11,0.009643555,57,6560,1.453125
290,11.125,0.009277344,59.75,6720,1.453125
291,11.5,0.008544922,61.75,6880,1.515625
292,11.625,0.012573242,62,6848,1.484375
293,12.0625,0.008544922,63.25,7168,1.5625
294,12,0.006500244,64.5,7136,1.5859375
295,12.4375,0.010192871,65,7488,1.59375
298,13.1875,0.013183594,67.5,7712,1.6484375
300,13.5,0.012512207,70,7712,1.6640625
301,13.5,0.011657715,72.5,7744,1.7421875
302,13.75,0.008728027,70.5,7808,1.7890625
303,13.8125,0.008178711,71,8032,1.7734375
304,14,0.011901855,70,7872,1.7578125
305,14.75,0.014343262,72.5,8256,1.828125
306,15.0625,0.016113281,73,8160,1.8359375
307,15.0625,0.008911133,74,8448,1.9453125
308,15.3125,0.016967773,75.5,8576,1.96875
309,15.5625,0.01953125,76,8768,1.9375
310,15.3125,0.007415771,78,8704,1.9609375
311,15.9375,0.019287109,76,9024,2.046875
313,16.625,0.019042969,76.5,9216,2.0625
314,16.25,0.015197754,80,9152,2.21875
315,17.125,0.022094727,83.5,9216,2.15625
